Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Bubba Smith,BAL,22,Michigan St.,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Clint Jones,MIN,22,Michigan St.,RB,1,0,0,0,0,0,86,311.1428571,2.857142857,5.428571429,61.57142857,0,0,0,0,7
Steve Spurrier,SFO,22,Florida,QB,1,59.7,115.1,687.8,4,6,6.1,25.8,0.2,0,0,0,0,0,0,10
Bob Griese,MIA,22,Purdue,QB,1,137.5714286,244.9285714,1792.285714,13.71428571,12.28571429,18.64285714,71,0.5,0,0,0,0,0,0,14
George Webster,HOU,21,Michigan St.,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,10
Floyd Little,DEN,25,Syracuse,RB,1,0.222222222,1,4.777777778,0.111111111,0,182.3333333,702.5555556,4.777777778,23.88888889,268.6666667,1,0,0,0,9
Mel Farr,DET,22,UCLA,RB,1,0,0.428571429,0,0,0,105.5714286,438.8571429,3.714285714,20.85714286,196.2857143,1.428571429,0,0,0,7
Gene Washington,MIN,23,Michigan St.,WR,1,0,0,0,0,0,0,0,0,26,462.4285714,3.714285714,0,0,0,7
Bob Hyland,GNB,22,Boston Col.,C,1,0,0,0,0,0,0,0,0,0.090909091,1.454545455,0,0,0,0,11
Loyd Phillips,CHI,22,Arkansas,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,3
Cas Banaszek,SFO,21,Northwestern,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Paul Seiler,NYJ,21,Notre Dame,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ray McDonald,WAS,23,Idaho,RB,1,0,0,0,0,0,26,111.5,2,5,30,0,0,0,0,2
Ron Billingsley,SDG,22,Wyoming,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Alan Page,MIN,22,Notre Dame,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,15
Dave Williams,STL,22,Washington,WR,1,0,0,0,0,0,0.857142857,9.857142857,0,26.14285714,395.4285714,3.571428571,0,0,0,7
Gene Upshaw,OAK,22,Texas A&M-Kingsville,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Bob Matheson,CLE,22,Duke,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,13
Harry Jones,PHI,22,Arkansas,RB,1,0,0,0,0,0,11,21.25,0,2.25,32.75,0,0,0,0,4
John Charles,BOS,23,Purdue,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
John Pitts,BUF,22,Arizona St.,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,9
Tom Regner,HOU,23,Notre Dame,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Gene Trosch,KAN,22,Miami (FL),DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Don Horn,GNB,22,San Diego St.,QB,1,29,58.125,421.125,2.5,4.5,2.25,0.375,0.125,0,0,0,0,0,0,8
Les Kelley,NOR,22,Alabama,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,3
Bo Burris,NOR,22,Houston,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,3
Bob Grim,MIN,22,Oregon St.,WR,2,0,0.181818182,0,0,0,0.727272727,12.45454545,0,17.63636364,264.9090909,1.454545455,0,0,0,11
Jim Riley,MIA,22,Oklahoma,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bob Davis,HOU,22,Virginia,QB,2,19.57142857,46.28571429,221.8571429,2,3.285714286,7.428571429,47.42857143,0.285714286,0,0,0,0,0,0,7
Leo Carroll,ATL,23,San Diego St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tom Beer,DEN,22,Houston,TE,2,0,0,0,0,0,0,0,0,10.83333333,168.6666667,0.666666667,0,0,0,6
Willie Ellison,RAM,21,Texas Southern,RB,2,0,0.375,0,0,0,100.125,428.25,3,13,111,0.75,0,0,0,8
Lem Barney,DET,22,Jackson St.,DB,2,0,0,0,0,0,0.454545455,4.090909091,0,0,0,0,0,5.090909091,0,11
Don Shy,PIT,21,San Diego St.,RB,2,0.142857143,0.142857143,3.285714286,0.142857143,0,65.28571429,225.2857143,1.428571429,10.85714286,119.2857143,0.428571429,0,0,0,7
Bob Jones,CHI,22,San Diego St.,WR,2,0,0,0,0,0,0,0,0,1.5,40,0.5,0,0,0,2
Spain Musgrove,WAS,22,Utah St.,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tom Holzer,SFO,22,Louisville,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ron McCall,SDG,23,Weber St.,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dave Dunaway,GNB,22,Duke,WR,2,0,0,0,0,0,0.333333333,1.333333333,0,0.666666667,12.33333333,0,0,0,0,3
Jim LeMoine,BUF,22,Utah St.,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bob Rowe,STL,22,West. Michigan,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,9
Rick Volk,BAL,22,Michigan,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,3.166666667,0,12
Larry Conjar,CLE,21,Notre Dame,RB,2,0,0,0,0,0,7.5,25.5,0,1.5,17,0,0,0,0,4
Jim Lynch,KAN,22,Notre Dame,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.545454545,0,11
Bob Howard,SDG,22,San Diego St.,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.846153846,0,13
Roy Hopkins,HOU,22,Texas Southern,RB,2,0,0,0,0,0,58,206.5,1.75,12.5,132.25,0.25,0,0,0,4
Willie Lanier,KAN,22,Morgan St.,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.454545455,0,11
Jim Flanigan,GNB,22,Pittsburgh,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5
John Gilliam,NOR,22,South Carolina St.,WR,2,0,0,0,0,0,3.181818182,26.63636364,0.181818182,34.72727273,641.4545455,4.363636364,0,0,0,11
Dave Rowe,NOR,22,Penn St.,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Norman Davis,BAL,22,Grambling St.,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Don Cockroft,CLE,22,Adams St.,K,3,0.214285714,0.285714286,1.928571429,0,0,0.142857143,0.642857143,0,0,0,0,0,0,0,14
Larry Carwell,HOU,23,Iowa St.,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0,6
Jimmy Jordan,ATL,23,Florida,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Current,DEN,22,Ohio St.,T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
George Goeddeke,DEN,22,Notre Dame,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Paul Naumoff,DET,22,Tennessee,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,12
Earl Denny,MIN,22,Missouri,RB,3,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,2
Frank Nunley,SFO,21,Michigan,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,10
Garry Lyle,CHI,21,George Washington,DB,3,0,0,0,0,0,0.5,3.5,0,0.875,6,0,0,1.5,0,8
Bill Tucker,SFO,24,Tennessee St.,RB,3,0,0,0,0,0,25.4,86.2,1.2,11.8,99.2,1.4,0,0,0,5
Dennis Randall,NYJ,22,Oklahoma St.,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harold Akin,SDG,22,Oklahoma St.,T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harry Wilson,PHI,23,Nebraska,RB,3,0,0,0,0,0,1,1.75,0,0.75,6.5,0,0,0,0,4
Eppie Barney,CLE,23,Iowa St.,FL,3,0,0,0,0,0,0,4,0.5,9.5,96,0.5,0,0,0,2
Rocky Freitas,PIT,22,Oregon St.,T,3,0,0,0,0,0,0,0,0,0.083333333,-0.666666667,0,0,0,0,12
Henry King,NYJ,22,Utah St.,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bill Fairband,OAK,26,Colorado,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Phil Clark,DAL,22,Northwestern,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,5
Billy Masters,KAN,23,LSU,TE,3,0,0,0,0,0,1.8,11.4,0,16.9,226.8,1.5,0,0,0,10
John Rowser,GNB,23,Michigan,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,10
Del Williams,NOR,21,Florida St.,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ben Hart,NOR,22,Oklahoma,E,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Ron Widby,NOR,22,Tennessee,P,4,0.285714286,0.285714286,14.57142857,0.142857143,0,0,0,0,0,0,0,0,0,0,7
Carl Ward,CLE,23,Michigan,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,3
Carl Cunningham,DEN,23,Houston,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,5
Carel Stith,HOU,22,Nebraska,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Al Coleman,MIN,22,Tennessee St.,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,7
Lew Kamanu,DET,23,Weber St.,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ray May,PIT,22,USC,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,0,9
Al Dodd,CHI,22,NW State (LA),WR,4,0,0.125,0,0,0,1.125,6.25,0,13.875,225.375,0.375,0,0,0,8
Wayne Trimble,SFO,22,Alabama,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Travis Williams,GNB,21,Arizona St.,RB,4,0,0,0,0,0,57.8,233.2,1.2,10.4,119.6,1,0,0,0,5
Dickie Post,SDG,22,Houston,RB,4,0.6,2.4,7.2,0,0,121.6,521,3.4,19.2,180.6,0.4,0,0,0,5
Mike Barnes,STL,22,Texas-Arlington,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Joe Taffoni,CLE,22,Tenn-Martin,T,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Chuck Hughes,PHI,24,Texas-El Paso,WR,4,0,0,0,0,0,0,0,0,3,52.4,0,0,0,0,5
Charlie Stukes,BAL,24,Md-Eastern Shore,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
Ed Philpott,BOS,22,Miami (OH),LB,4,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,5
Gary Bugenhagen,BUF,22,Syracuse,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Andy Bowling,STL,22,Virginia Tech,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Don McCall,NOR,23,USC,RB,5,0,0.25,0,0,0,57.25,221,1.5,9.25,97.5,0.75,0,0,0,4
Dave Lewis,NYG,21,Stanford,QB,5,0.857142857,2,8.142857143,0,0,1.714285714,3.142857143,0,0,0,0,0,0,0,7
Fran Lynch,DEN,21,Hofstra,RB,5,0.111111111,0.222222222,0.444444444,0,0,33.77777778,139.7777778,1.333333333,3.888888889,39.66666667,0.222222222,0,0,0,9
Pete Johns,HOU,22,Tulane,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
John Huard,DEN,23,Maine,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,5
Willie Parker,HOU,22,Ark-Pine Bluff,DT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bruce Alford,CHI,22,TCU,K,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bernie Erickson,SDG,22,Abilene Christian,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2
Nate Shaw,RAM,22,USC,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jamie Rivers,STL,22,Bowling Green,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,9
Dick Absher,PHI,23,Maryland,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,6
Ron Porter,BAL,22,Idaho,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,7
Zeke Moore,HOU,23,Lincoln (MO),DB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.181818182,0,11
Mel Witt,BOS,21,Texas-Arlington,DE,5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4
Gary Tucker,MIA,22,Tenn-Chattanooga,RB,5,0,0,0,0,0,2,6.5,0,0,0,0,0,0,0,2
Mike Hibler,OAK,21,Stanford,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jay Bachman,GNB,21,Cincinnati,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
John Douglas,NOR,22,Texas Southern,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,3
George Harvey,NOR,22,Kansas,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Don Bandy,WAS,22,Tulsa,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pete Barnes,HOU,22,Saginaw Valley St.,LB,6,0,0,0,0,0,0,0,0,0,0,0,0,1.363636364,0,11
Neal Sweeney,DEN,22,Tulsa,WR,6,0,0,0,0,0,0,0,0,6,136,0,0,0,0,1
Mike Haggerty,PIT,21,Miami (FL),T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Virgil Carter,CHI,21,BYU,QB,6,42.5,78.5,506.3,2.9,3.1,10.9,64,0.8,0,0,0,0,0,0,10
Doug Kriewald,CHI,22,West Texas A&M,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
John McCambridge,DET,23,Northwestern,DE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Doug Cunningham,SFO,22,Mississippi,RB,6,0.375,0.375,6,0.125,0,50.75,189.375,1.25,17.125,146.375,0,0,0,0,8
Jeff Richardson,NYJ,23,Michigan St.,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mike Campbell,STL,22,Lenoir-Rhyne,RB,6,0,0,0,0,0,3.5,12,0,1,7.5,0,0,0,0,2
John Demarie,CLE,22,LSU,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Bob Hughes,PHI,22,Jackson St.,DE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Noland Smith,KAN,23,Tennessee St.,WR,6,0,0,0,0,0,1,2,0,0.666666667,19,0,0,0,0,3
Sims Stokes,DAL,23,Northern Arizona,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bo Wood,NOR,22,North Carolina,DE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Larry Seiple,MIA,22,Kentucky,TE,7,0.272727273,0.272727273,6.272727273,0,0,1.454545455,14.45454545,0,6.636363636,84.90909091,0.636363636,0,0,0,11
Ed Carrington,HOU,23,Virginia,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Frank Richter,DEN,22,Georgia,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,3
Bobby Bryant,MIN,23,South Carolina,DB,7,0,0,0,0,0,0,0,0,0,0,0,0,3.642857143,0,14
John Elliott,NYJ,22,Texas,DT,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
John Love,WAS,23,North Texas,WR,7,0,0,0,0,0,0,0,0,3,44.5,0.333333333,0,0,0,6
Dave Conway,SDG,22,Texas,K,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bobby Leo,BOS,22,Harvard,RB,7,0,0,0,0,0,0.5,3.5,0,0.5,12.5,0.5,0,0,0,2
George Gaiser,BUF,22,SMU,T,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rayfield Wright,DAL,22,Fort Valley St.,T,7,0,0,0,0,0,0.076923077,-0.769230769,0,0.153846154,2.076923077,0.076923077,0,0,0,13
Scott Eaton,NYG,23,Oregon St.,DB,8,0,0,0,0,0,0,0,0,0.2,3.6,0,0,2.2,0,5
Estes Banks,OAK,21,Colorado,RB,8,0,0,0,0,0,22,78.5,0,2,7.5,0.5,0,0,0,2
Larry Hendershot,WAS,23,Arizona St.,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tom Cassese,DEN,21,C.W. Post,DB,8,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1
John Foruria,PIT,22,Idaho,DB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
John Beasley,MIN,22,California,TE,8,0,0,0,0,0,0,0,0,18.875,200.875,1.625,0,0,0,8
Walter Johnson,SFO,23,Tuskegee,DE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cornelius Johnson,BAL,24,Virginia Union,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Thomas Fussell,BOS,22,LSU,DE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tommy Luke,BUF,23,Mississippi,DB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ken Houston,HOU,22,Prairie View,DB,9,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,14
Bobby Moten,ATL,24,Bishop,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
John Richardson,MIA,22,UCLA,DT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jim Summers,DEN,21,Michigan St.,DB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Weger,DET,21,Bowling Green,DB,9,0,0,0,0,0,0,0,0,0,0,0,0,1.545454545,0,11
Pete Larson,WAS,23,Cornell,RB,9,0,0,0,0,0,34.5,108,1,10,95.5,0.5,0,0,0,2
Bob Briggs,SFO,22,Heidelberg,DE,9,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,8
Steve Newell,SDG,22,Long Beach St.,WR,9,0,0,0,0,0,0,0,0,7,68,0,0,0,0,1
Tommie Smith,RAM,23,San Jose St.,WR,9,0,0,0,0,0,0,0,0,0.333333333,13.66666667,0,0,0,0,3
Ted Wheeler,STL,22,West Texas A&M,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Charlie Brown,NOR,21,Missouri,RB,10,0,0,0,0,0,4,8,1,1.5,11.5,0,0,0,0,2
Tom Beier,MIA,22,Miami (FL),DB,10,0,0,0,0,0,0,0,0,0.333333333,6.333333333,0,0,0.666666667,0,3
Woody Campbell,HOU,23,Northwestern,RB,10,0.4,0.6,6.8,0.4,0,81.6,298.6,2.6,16,141.8,0.4,0,0,0,5
Pete Tatman,MIN,22,Nebraska,RB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chip Myers,SFO,22,NW Oklahoma St.,WR,10,0,0,0,0,0,0,0,0,22,309.2,1.2,0,0,0,10
Richard Sligh,OAK,23,North Carolina Central,DT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jim Copeland,CLE,22,Virginia,C,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jack Pyburn,MIA,22,Texas A&M,T,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lou Andrus,DEN,24,BYU,LB,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ed Marcontell,STL,22,Lamar,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Duane Benson,OAK,22,Hamline,LB,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,10
Bill Sabatino,CLE,22,Colorado,DT,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Leroy Mitchell,BOS,23,Texas Southern,DB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.714285714,0,7
Preston Pearson,BAL,22,Illinois,RB,12,0,0,0,0,0,67.21428571,257.7857143,0.928571429,18.14285714,221.0714286,1.214285714,0,0,0,14
Randy Rasmussen,NYJ,22,Nebraska-Kearney,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Bob Kruse,OAK,25,Colorado St.,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Charlie Fowler,CLE,22,Houston,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harold Deters,DAL,23,North Carolina St.,K,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Bass,GNB,22,Michigan,DB,12,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,9
Bill Stetz,NOR,22,Boston Col.,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bob Duncum,STL,23,West Texas A&M,T,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Billy Andrews,CLE,22,SE Louisiana,LB,13,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636,0,11
Ray Ilg,BOS,21,Colgate,LB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jimmy Hester,NOR,22,North Dakota,TE,14,0,0,0,0,0,0,0,0,7.25,102,0.75,0,0,0,4
Jim Hargrove,MIN,22,Howard Payne,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,6
Chet Anderson,PIT,22,Minnesota,TE,14,0,0,0,0,0,0,0,0,8,141,2,0,0,0,1
Michael Stromberg,NYJ,22,Temple,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Marty Baccaglio,SDG,23,San Jose St.,DE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bo Hickey,STL,21,Maryland,RB,14,0,0,0,0,0,73,263,4,7,36,1,0,0,0,1
Claudis James,GNB,23,Jackson St.,WR,14,0,0,0,0,0,0.5,7.5,0,4,74,1,0,0,0,2
Don Smith,DEN,24,Florida A&M,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ed Breding,WAS,22,Texas A&M,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bob Wade,BAL,22,Morgan St.,DB,15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4
Rex Keeling,HOU,24,Samford,P,16,0,0.5,0,0,0,0.5,5,0,0,0,0,0,0,0,2
Jack Lentz,DEN,22,Holy Cross,DB,16,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2
Jerry Zawadzkas,DET,21,Columbia,TE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Philip Spiller,STL,22,Los Angeles St.,DB,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Don Alley,BAL,22,Adams St.,WR,16,0,0,0,0,0,0,0,0,0.666666667,9,0,0,0,0,3
Bruce Cortez,NOR,21,Parsons,DB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Danny Abramowicz,NOR,22,Xavier (OH),E,17,0.125,0.125,5.125,0,0,0.75,11.875,0,46.125,710.75,4.875,0,0,0,8
Ben Davis,CLE,21,Defiance,DB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,10
Bobby Nichols,BOS,25,Boston Univ.,TE,17,0,0,0,0,0,0,0,0,0.5,9.5,0,0,0,0,2
Ron Yary,MIN,22,USC,T,1,0,0,0,0,0,0,0,0,0.066666667,0.333333333,0,0,0,0,15
Bob Johnson,CIN,22,Tennessee,C,1,0,0,0,0,0,0,0,0,0.083333333,0.25,0,0,0,0,12
Claude Humphrey,ATL,24,Tennessee St.,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,14
Russ Washington,SDG,21,Missouri,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fred Carr,GNB,22,Texas-El Paso,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,10
Dennis Byrd,BOS,22,North Carolina St.,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kevin Hardy,NOR,23,Notre Dame,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Larry Csonka,MIA,21,Syracuse,RB,1,0,0,0,0,0,157.5833333,673.4166667,5.333333333,8.833333333,68.33333333,0.333333333,0,0,0,12
Haven Moses,BUF,22,San Diego St.,WR,1,0,0,0,0,0,1.285714286,3.071428571,0.071428571,32,577.9285714,4,0,0,0,14
Mike Taylor,PIT,23,USC,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Greg Landry,DET,21,Massachusetts,QB,1,75.05882353,135.2941176,944.2352941,5.764705882,6.058823529,25.29411765,156.1764706,1.235294118,0,0,0,0,0,0,17
Jim Smith,WAS,21,Oregon,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MacArthur Lane,STL,26,Utah St.,RB,1,0.272727273,0.454545455,3.818181818,0.090909091,0,109.6363636,423.2727273,2.727272727,26.09090909,253.2727273,0.636363636,0,0,0,11
Tim Rossovich,PHI,22,USC,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,9
Forrest Blue,SFO,23,Auburn,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Mike Hull,CHI,23,USC,RB,1,0,0,0,0,0,11,29.57142857,0.142857143,4.142857143,18.14285714,0,0,0,0,7
Lee White,NYJ,22,Weber St.,RB,1,0,0,0,0,0,24.6,77.8,0,3.2,28.6,0.2,0,0,0,5
Jim Hill,SDG,21,Texas A&M-Kingsville,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,2.375,0,8
Mo Moorman,KAN,23,Texas A&M,G,1,0,0,0,0,0,0,0,0,0.166666667,-0.166666667,0,0,0,0,6
Dennis Homan,DAL,22,Alabama,WR,1,0,0,0,0,0,0.4,-0.6,0,7.4,123.8,0.4,0,0,0,5
Marvin Upshaw,CLE,21,Trinity (TX),DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,9
George Daney,KAN,22,Texas-El Paso,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
John Williams,BAL,22,Minnesota,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Earl McCullouch,DET,22,USC,WR,1,0.142857143,0.142857143,3.285714286,0,0,1.142857143,4.142857143,0,17.71428571,331.2857143,2.714285714,0,0,0,7
Eldridge Dickey,OAK,22,Tennessee St.,WR,1,0,0,0,0,0,0,0,0,1.25,28,0.25,0,0,0,4
Bill Lueck,GNB,22,Arizona,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Doug Crusan,MIA,22,Indiana,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bill Staley,CIN,22,Utah St.,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Carlton Dabney,ATL,21,Morgan St.,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Gary Beban,RAM,22,UCLA,QB,2,0,0.5,0,0,0,2.5,9,0,0.5,6,0,0,0,0,2
Curley Culp,DEN,22,Arizona St.,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,14
Tom Funchess,BOS,24,Jackson St.,T,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Charlie West,MIN,22,Texas-El Paso,DB,2,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,12
Bob Tatarek,BUF,22,Miami (FL),DT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jimmy Keyes,MIA,24,Mississippi,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
