Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Derwin Gray,IND,22,BYU,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,6
Greg Bishop,NYG,22,Pacific,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Derrick Lassic,DAL,23,Alabama,RB,4,0,0,0,0,0,75,269,3,9,37,0,0,0,0,1
Raylee Johnson,SDG,23,Arkansas,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.916666667,12
Ron Stone,DAL,22,Boston Col.,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Todd Perry,CHI,22,Kentucky,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Jeff Robinson,DEN,23,Idaho,TE,4,0,0,0,0,0,0,0,0,1.647058824,16.35294118,0.470588235,0,0,0.382352941,17
Lewis Bush,SDG,23,Washington St.,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,10
Myron Baker,CHI,22,Louisiana Tech,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Sterling Palmer,WAS,22,Florida St.,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,4
Travis Hannah,HOU,23,USC,WR,4,0,0,0,0,0,0.333333333,1.666666667,0,4.333333333,55.33333333,0,0,0,0,3
Jaime Fields,KAN,23,Washington,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Horace Copeland,TAM,22,Miami (FL),WR,4,0,0,0,0,0,0.5,5.666666667,0,19.16666667,329.5,1.166666667,0,0,0,6
Ronnie Bradford,MIA,22,Colorado,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.2,10
Ashley Sheppard,MIN,24,Clemson,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3
Devon McDonald,IND,23,Notre Dame,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4
Kevin Henry,PIT,24,Mississippi St.,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.75,8
Derek Brown,NOR,22,Nebraska,RB,4,0,0,0,0,0,97,345.75,1.5,27,229.5,0.75,0,0,0,4
Corwin Brown,NWE,23,Michigan,DB,4,0,0,0,0,0,0,0,0,0.125,3.25,0,0,0.375,0.0625,8
Russell Copeland,BUF,21,Memphis,WR,4,0,0,0,0,0,0.333333333,-1.333333333,0,17.16666667,243.3333333,0.333333333,0,0,0,6
Albert Fontenot,CHI,23,Baylor,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,3.055555556,9
Scott Sisson,NWE,22,Georgia Tech,K,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Terrence Warren,SEA,24,Hampton,WR,5,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3
Fred Baxter,NYJ,22,Auburn,TE,5,0,0,0,0,0,0,0,0,9.090909091,91.63636364,1.090909091,0,0,0,11
Artie Smith,SFO,23,Louisiana Tech,DE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,6
Forey Duckett,CIN,23,Nevada,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mark Brunell,GNB,23,Washington,QB,5,145.3157895,244.2105263,1688,9.684210526,5.684210526,27,127.4210526,0.789473684,0,0,0,0,0,0,19
James Willis,GNB,21,Auburn,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0.285714286,7
Adrian Murrell,NYJ,22,West Virginia,RB,5,0,0,0,0,0,125,472.6363636,2.090909091,19.45454545,124.4545455,0.454545455,0,0,0,11
Ron George,ATL,23,Stanford,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,8
Sean LaChapelle,RAM,23,UCLA,WR,5,0,0,0,0,0,0,0,0,7.25,111.25,0.5,0,0,0,4
Herman Arvie,CLE,22,Grambling St.,T,5,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,4
Olanda Truitt,RAI,22,Mississippi St.,WR,5,0,0,0,0,0,0,0,0,4.4,74.8,0.6,0,0,0,5
Kevin Williams,DEN,23,UCLA,RB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chuck Belin,RAM,22,Wisconsin,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Greg Huntington,WAS,23,Penn St.,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kenny Shedd,NYJ,22,Northern Iowa,WR,5,0,0,0,0,0,0,0,0,2,31.5,0.125,0,0,0,8
Lindsay Knapp,KAN,23,Notre Dame,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
